username,Domain,crawl_type,author_signature,join_date,lastactive,totalposts,FetchTime,groups,reputation,credits,awards,rank,activetime,contactinfo,reference_url
cyberbob,forum.exetools.com,catchup,,1091298600,1538954400, 91,1541828412000,VIP,118,,,,"[ { ""year"": ""2018"",""month"": ""10"", ""dayofweek"": ""7"", ""hour"": ""23"", ""count"": "" 91"" }]",,https://forum.exetools.com/member.php?u=15334
giv,forum.exetools.com,catchup,,1293820200,1404420420," 1,645",1541828425000,VIP,279,,,,"[ { ""year"": ""2014"",""month"": ""7"", ""dayofweek"": ""3"", ""hour"": ""20"", ""count"": "" 1,645"" }]",,https://forum.exetools.com/member.php?u=35594
aldente,forum.exetools.com,keepup,,1056997800,1381030800, 260,1541828410000,VIP,7,,,,"[ { ""year"": ""2013"",""month"": ""10"", ""dayofweek"": ""6"", ""hour"": ""3"", ""count"": "" 260"" }]",,https://forum.exetools.com/member.php?u=9082
chessgod101,forum.exetools.com,catchup,,1293820200,1338149220, 472,1541828414000,Co-Administrator,663,,,,"[ { ""year"": ""2012"",""month"": ""5"", ""dayofweek"": ""27"", ""hour"": ""20"", ""count"": "" 472"" }]",,https://forum.exetools.com/member.php?u=35596
CodeCracker,forum.exetools.com,catchup,"Attached Files
					
					
	
	BcelEditor.zip (493.8 KB, 64 views)",1306866600,1404569400, 183,1541828412000,Family,191,,,,"[ { ""year"": ""2014"",""month"": ""7"", ""dayofweek"": ""5"", ""hour"": ""14"", ""count"": "" 183"" }]",,https://forum.exetools.com/member.php?u=35959
uranus64,forum.exetools.com,keepup,,1298917800,1380877560, 268,1541828410000,VIP,458,,,,"[ { ""year"": ""2013"",""month"": ""10"", ""dayofweek"": ""4"", ""hour"": ""9"", ""count"": "" 268"" }]",,https://forum.exetools.com/member.php?u=35864
deepzero,forum.exetools.com,catchup,,1267381800,1374400200, 188,1541828419000,VIP,60,,,,"[ { ""year"": ""2013"",""month"": ""7"", ""dayofweek"": ""21"", ""hour"": ""9"", ""count"": "" 188"" }]",,https://forum.exetools.com/member.php?u=35166
evlncrn8,forum.exetools.com,keepup,,1125513000,1381092840, 156,1541828410000,VIP,54,,,,"[ { ""year"": ""2013"",""month"": ""10"", ""dayofweek"": ""6"", ""hour"": ""20"", ""count"": "" 156"" }]",,https://forum.exetools.com/member.php?u=21628
mr.exodia,forum.exetools.com,catchup,"
				x64dbg: http://x64dbg.com
My Blog: http://mrexodia.cf",1320085800,1469025540, 845,1541828431000,Super Moderator,154,,,,"[ { ""year"": ""2016"",""month"": ""7"", ""dayofweek"": ""20"", ""hour"": ""14"", ""count"": "" 845"" }]",,https://forum.exetools.com/member.php?u=36082
ZeNiX,forum.exetools.com,catchup,,1233426600,1524466080, 699,1541828437000,Administrator,769,,,,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""23"", ""hour"": ""6"", ""count"": "" 699"" }]",,https://forum.exetools.com/member.php?u=34503
CfF2002,forum.exetools.com,keepup,,0,1381569300, n/a,1541828410000,,,,,,"[ { ""year"": ""2013"",""month"": ""10"", ""dayofweek"": ""12"", ""hour"": ""9"", ""count"": "" n/a"" }]",,
eychei,forum.exetools.com,keepup,,1519842600,1536145200, 42,1541828411000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""9"", ""dayofweek"": ""5"", ""hour"": ""11"", ""count"": "" 42"" }]",,https://forum.exetools.com/member.php?u=37462
chants,forum.exetools.com,catchup,,1467311400,1526030700, 196,1541828437000,Friend,9,,,,"[ { ""year"": ""2018"",""month"": ""5"", ""dayofweek"": ""11"", ""hour"": ""9"", ""count"": "" 196"" }]",,https://forum.exetools.com/member.php?u=37168
Megin,forum.exetools.com,catchup,,1530383400,1535553780, 22,1541828412000,Friend,4,,,,"[ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""29"", ""hour"": ""14"", ""count"": "" 22"" }]",,https://forum.exetools.com/member.php?u=37529
TechLord,forum.exetools.com,keepup,,1109615400,1529180580, 681,1541828411000,Reverse Engineer,243,,,,"[ { ""year"": ""2018"",""month"": ""6"", ""dayofweek"": ""16"", ""hour"": ""20"", ""count"": "" 681"" }]",,https://forum.exetools.com/member.php?u=20571
rcer,forum.exetools.com,catchup,,1228069800,1536097260, 122,1541828412000,Friend,7,,,,"[ { ""year"": ""2018"",""month"": ""9"", ""dayofweek"": ""4"", ""hour"": ""21"", ""count"": "" 122"" }]",,https://forum.exetools.com/member.php?u=33275
user1,forum.exetools.com,keepup,,1346437800,1535753640, 648,1541828411000,Family,107,,,,"[ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""31"", ""hour"": ""22"", ""count"": "" 648"" }]",,https://forum.exetools.com/member.php?u=36245
ahmadmansoor,forum.exetools.com,catchup,"
				Ur Best Friend Ahmadmansoor  Cool 
Always My Best Friend: Aaron & JMI & ZeNiX",1138732200,1392061980, 967,1541828423000,Exetools Team Manager,342,,,,"[ { ""year"": ""2014"",""month"": ""2"", ""dayofweek"": ""10"", ""hour"": ""19"", ""count"": "" 967"" }]",,https://forum.exetools.com/member.php?u=27160
eAGLe_eYe,forum.exetools.com,keepup,,1343759400,1535840940, 98,1541828411000,Family,54,,,,"[ { ""year"": ""2018"",""month"": ""9"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": "" 98"" }]",,https://forum.exetools.com/member.php?u=36235
ChupaChu,forum.exetools.com,keepup,,1196447400,1289605920, 38,1541828411000,Friend,0,,,,"[ { ""year"": ""2010"",""month"": ""11"", ""dayofweek"": ""12"", ""hour"": ""23"", ""count"": "" 38"" }]",,https://forum.exetools.com/member.php?u=32432
