thread_title,username,domain,crawl_type,author_signature,join_date,lastactive,totalposts,FetchTime,groups,reputation,credits,awards,rank,activetime,contactinfo,reference_url
How do I get Kindle Fire HD 7 video to show up on TV?,Warthog-Fan,www.bleepingcomputer.com,keepup,,1371753000000,1541645760000,312,1541654782000,Members, , , , ,"[ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""0"", ""hour"": ""4"", ""count"": ""312"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""0"", ""hour"": ""21"", ""count"": ""312"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""3"", ""hour"": ""21"", ""count"": ""312"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""3"", ""hour"": ""6"", ""count"": ""312"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""1"", ""hour"": ""3"", ""count"": ""312"" }][ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""2"", ""hour"": ""1"", ""count"": ""312"" }]", ,https://www.bleepingcomputer.com/forums/u/839020/warthog-fan/
"Your Router\'s Security Stinks: Here\'s How to Fix It, Image BBCode test",r.a.d.,www.bleepingcomputer.com,keepup,"

Bleepin' desert rat retiree in climes yet to fry brains (knock on cactus).
Past climes/best friend:  photo-91.gif
",1426876200000,1541647800000,740,1541654783000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""10"", ""dayofweek"": ""4"", ""hour"": ""0"", ""count"": ""740"" }][ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""5"", ""hour"": ""5"", ""count"": ""740"" }][ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""5"", ""hour"": ""19"", ""count"": ""740"" }][ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""5"", ""hour"": ""6"", ""count"": ""740"" }][ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""6"", ""hour"": ""2"", ""count"": ""740"" }]", ,https://www.bleepingcomputer.com/forums/u/945759/rad/
Twigby,JoseyEarp,www.bleepingcomputer.com,keepup,,1246818600000,1489513260000,17,1541654783000,Members, , , , ,"[ { ""year"": ""2017"",""month"": ""2"", ""dayofweek"": ""5"", ""hour"": ""4"", ""count"": ""17"" }]", ,https://www.bleepingcomputer.com/forums/u/348628/joseyearp/
Error 553 in Notepad++,Tinalock456,www.bleepingcomputer.com,keepup,,1534962600000,1534999440000,1,1541654784000,Members, , , , ,"[ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""3"", ""hour"": ""4"", ""count"": ""1"" }]", ,https://www.bleepingcomputer.com/forums/u/1101750/tinalock456/
In Which Way IT Support in our Business?,poppykirk,www.bleepingcomputer.com,keepup,,1447871400000,1456904640000,11,1541654787000,Members, , , , ,"[ { ""year"": ""2015"",""month"": ""12"", ""dayofweek"": ""5"", ""hour"": ""23"", ""count"": ""11"" }]", ,https://www.bleepingcomputer.com/forums/u/977145/poppykirk/
turning GB size photo into KB sized photo,helloyo53,www.bleepingcomputer.com,keepup,,1263839400000,1293933360000,104,1541654788000,Members, , , , ,"[ { ""year"": ""2010"",""month"": ""8"", ""dayofweek"": ""1"", ""hour"": ""0"", ""count"": ""104"" }]", ,https://www.bleepingcomputer.com/forums/u/437448/helloyo53/
"persistent warnings from HitmanPro.Alert, can\'t get rid of them, In Which Way IT Support in our Business?",RolandJS,www.bleepingcomputer.com,keepup,"

""Take care of thy backups and thy restores shall take care of thee.""  -- Ben Franklin revisited.
http://collegecafe.fr.yuku.com/forums/45/Computer-Technologies/
Backup, backup, backup! -- Lady Fitzgerald (w7forums)
Clone or Image often! Backup... -- RockE (WSL)
",1421087400000,1541637600000,4539,1541654788000,Members, , , , ,"[ { ""year"": ""2016"",""month"": ""1"", ""dayofweek"": ""4"", ""hour"": ""2"", ""count"": ""4539"" }][ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""5"", ""hour"": ""7"", ""count"": ""4539"" }]", ,https://www.bleepingcomputer.com/forums/u/934973/rolandjs/
How do I get Kindle Fire HD 7 video to show up on TV?,Madison112,www.bleepingcomputer.com,keepup,,1475001000000,0,3,1541654789000,Members, , , , ,"[ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": ""3"" }][ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": ""3"" }]", ,https://www.bleepingcomputer.com/forums/u/1019707/madison112/
Will Chromecast losing power of tablet pc(AsusT100TAL)?,BenXY,www.bleepingcomputer.com,keepup,,1471285800000,1472962800000,10,1541654789000,Members, , , , ,"[ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""5"", ""hour"": ""5"", ""count"": ""10"" }][ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""6"", ""hour"": ""4"", ""count"": ""10"" }]", ,https://www.bleepingcomputer.com/forums/u/1013430/benxy/
turning GB size photo into KB sized photo,Vaerli,www.bleepingcomputer.com,keepup,"

Q6600, 4GB g-skill, 8800GT, P5N-D motherboardhttp://img134.imageshack.us/img134/9058/codegeascme1.pngMy art
",1179599400000,1293586140000,582,1541654789000,Members, , , , ,"[ { ""year"": ""2010"",""month"": ""8"", ""dayofweek"": ""0"", ""hour"": ""5"", ""count"": ""582"" }]", ,https://www.bleepingcomputer.com/forums/u/131991/vaerli/
"HELP! Any way to read licence number plate?, How do I get Kindle Fire HD 7 video to show up on TV?, Will Chromecast losing power of tablet pc(AsusT100TAL)?",Trikein,www.bleepingcomputer.com,keepup,,1243967400000,1485279840000,1321,1541654789000,Members, , , , ,"[ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": ""1321"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""3"", ""hour"": ""19"", ""count"": ""1321"" }][ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""5"", ""hour"": ""1"", ""count"": ""1321"" }][ { ""year"": ""2016"",""month"": ""9"", ""dayofweek"": ""0"", ""hour"": ""23"", ""count"": ""1321"" }][ { ""year"": ""2017"",""month"": ""1"", ""dayofweek"": ""0"", ""hour"": ""22"", ""count"": ""1321"" }]", ,https://www.bleepingcomputer.com/forums/u/338343/trikein/
How do I get Kindle Fire HD 7 video to show up on TV?,Havachat,www.bleepingcomputer.com,keepup,,1416508200000,1541578560000,1139,1541654790000,Members, , , , ,"[ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""0"", ""hour"": ""22"", ""count"": ""1139"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""1"", ""hour"": ""22"", ""count"": ""1139"" }][ { ""year"": ""2016"",""month"": ""8"", ""dayofweek"": ""2"", ""hour"": ""20"", ""count"": ""1139"" }]", ,https://www.bleepingcomputer.com/forums/u/925497/havachat/
