Domain,Category,SubCategory,ThreadTitle,ThreadUrl,Postid,Posturl,PublishTime,FetchTime,Author,Text, Links,reference_url,crawl_type
www.bleepingcomputer.com,Software,['All Other Applications'],Error 553 in Notepad++,https://www.bleepingcomputer.com/forums/t/682477/error-553-in-notepad/,4556961,https://www.bleepingcomputer.com/forums/t/682477/error-553-in-notepad/#entry4556961,1534998960000,1541654706722,Tinalock456,"
Hello everyone, I am new here. I am taking a Website design course at college and am using Notepad++ as my editor and to upload to my server.
Usually I don't have any problem with this, however, this time when trying to upload I click in the page to upload, hit the upload button and in the ""output"" box, (where I normally see my confirmation that it worked) I have an error that says ""553 Can't open that file: Permission denied"". What the heck is going on with this ""Bleeping Program/Computer""? LOL but seriously, my page is due to be viewed by my fellow classmates and I can't get it up, Help Please.
Tina
Edited by Chris Cosgrove, 24 August 2018 - 05:00 AM.
Moved from Introductions to All other applications.
",,https://www.bleepingcomputer.com/forums/t/682477/error-553-in-notepad/,keep up
www.bleepingcomputer.com,Internet & Networking,['Service Providers'],Twigby,https://www.bleepingcomputer.com/forums/t/640222/twigby/,4182954,https://www.bleepingcomputer.com/forums/t/640222/twigby/#entry4182954,1487390460000,1541654708602,JoseyEarp,"
Does anyone use Twigby Cell Phone Service or heard of it?  https://www.twigby.com/ I was checking the pros/cons reviews of it. Thank You
",[u'https://www.twigby.com/'],https://www.bleepingcomputer.com/forums/t/640222/twigby/,keep up
www.bleepingcomputer.com,General Topics,['Tests and Scribbles'],Image BBCode test,https://www.bleepingcomputer.com/forums/t/684450/image-bbcode-test/,4582890,https://www.bleepingcomputer.com/forums/t/684450/image-bbcode-test/#entry4582890,1538697840000,1541654709992,r.a.d.,"
Thumbs up
Edited by r.a.d., 05 October 2018 - 05:35 AM.
",,https://www.bleepingcomputer.com/forums/t/684450/image-bbcode-test/,keep up
www.bleepingcomputer.com,Internet & Networking,['Network Streaming Devices'],How do I get Kindle Fire HD 7 video to show up on TV?,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,4058749,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/#entry4058749,1470631260000,1541654712904,Warthog-Fan,"
Hi,
My wife has a Kindle Fire HD 7 tablet. I would like to be able to send the screen image to our television. I know that there are streaming devices like the Fire Stick that let you show streaming content on the television, but that isn't what I'm looking for. What I want is to just send the video that is on the Fire screen to the television via some kind of wireless connection. This would allow my wife to surf the web, but use the larger screen of the television as a monitor.
If anyone has successfully been able to accomplish this task, please let me know how you did it.
Thanks.
",,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,keep up
www.bleepingcomputer.com,Internet & Networking,['Network Streaming Devices'],How do I get Kindle Fire HD 7 video to show up on TV?,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,4058754,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/#entry4058754,1470631980000,1541654712906,Animal,"
Take a look here: https://www.amazon.com/gp/help/customer/display.html?nodeId=201540250Display Mirroring on Fire Tablet
",[u'https://www.amazon.com/gp/help/customer/display.html?nodeId=201540250'],https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,keep up
www.bleepingcomputer.com,Internet & Networking,['Network Streaming Devices'],How do I get Kindle Fire HD 7 video to show up on TV?,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,4058893,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/#entry4058893,1470691020000,1541654712909,Warthog-Fan,"
Animal,
Thanks for the info. I looked into mirroring the tablet, but unfortunately, this tablet does not support mirroring.
",,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,keep up
www.bleepingcomputer.com,Internet & Networking,['Network Streaming Devices'],How do I get Kindle Fire HD 7 video to show up on TV?,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,4058985,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/#entry4058985,1470699180000,1541654712911,Animal,"
You're quite welcome. I knew some of the Fire models did not support mirroring. And didn't want to waste your time giving you directions. Just to have you come back and say they didn't work. I figured best to verify if it could even be done from the start.
",,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,keep up
www.bleepingcomputer.com,Internet & Networking,['Network Streaming Devices'],How do I get Kindle Fire HD 7 video to show up on TV?,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,4059227,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/#entry4059227,1470695040000,1541654712915,Havachat,"
Warthog-Fan, on 08 Aug 2016 - 10:11 PM, said: 
Hi,
My wife has a Kindle Fire HD 7 tablet. I would like to be able to send the screen image to our television. I know that there are streaming devices like the Fire Stick that let you show streaming content on the television, but that isn't what I'm looking for. What I want is to just send the video that is on the Fire screen to the television via some kind of wireless connection. This would allow my wife to surf the web, but use the larger screen of the television as a monitor.
If anyone has successfully been able to accomplish this task, please let me know how you did it.
Thanks.
If it has wireless and it does , this should work or similar if you purchase one , i use a Western Digital Media Centre    http://www.cnet.com/au/products/western-digital-wd-tv-media-player-2014/    connected to my Panasonic 42"" TV
I use it on my Network and works fine on any Wireless Device , just tried on My Android HTC M7 via wireless , on the WDTV scan for Devices and select which device you want to connect to , then select Miracast from WDTV option and away you go. 
Anything you do on Android Phone or Tablet will be displayed on the TV in real time.
Yet if using Web Browser -  Data from Phone / Tablet may decrease your Quota limit , where as i use my ADSL Connection over WIFI for all devices when im home. 
Edited by Havachat, 09 August 2016 - 03:59 PM.
",[u'http://www.cnet.com/au/products/western-digital-wd-tv-media-player-2014/'],https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,keep up
www.bleepingcomputer.com,Internet & Networking,['Network Streaming Devices'],How do I get Kindle Fire HD 7 video to show up on TV?,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,4059429,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/#entry4059429,1470713400000,1541654712918,Warthog-Fan,"
Havachat,
Thanks, I will look into this. I found the WD device on Amazon and one statement left me a little concerned. It states that it will work with any ""Miracast-enabled"" device. I opened the Users Guide on the Fire and did a search for Miracast, but no results were found. Also, you stated above that anything that you do on your Android Phone or Tablet will be displayed on the TV. The Kindle Fire uses a ""Fire OS"", not Android. Amazon seems to like to keep things proprietary which is a hassle for anyone that wants to work with other kinds of devices.
I'll try to find a Fire HD user forum and see if anyone there can confirm that this tablet will work with the WD device or whether there might be some other option.
",,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,keep up
www.bleepingcomputer.com,Internet & Networking,['Network Streaming Devices'],How do I get Kindle Fire HD 7 video to show up on TV?,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,4059748,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/#entry4059748,1470782700000,1541654712920,Trikein,"
Did Chromecast get Kindle mirroring with the 2016 update or is that just for the newer models you mentioned?
Also, what model TV does OP have? Most newer TV's have integrated computers in them that can stream Netflix,etc without having to streamcast from another device. This would also reduce the amount of local bandwidth used for the stream. 
Edited by Trikein, 10 August 2016 - 04:18 AM.
",,https://www.bleepingcomputer.com/forums/t/622747/how-do-i-get-kindle-fire-hd-7-video-to-show-up-on-tv/,keep up
